Annotation	Gene	Input
Adherens junction	Tcf7l2	1
Adherens junction	Tgfbr1	1
Adherens junction	Tgfbr2	1
Adherens junction	Tjp1	1
Adherens junction	Vcl	1
Adherens junction	Was	1
Adherens junction	Wasf1	1
Adherens junction	Wasf2	1
Adherens junction	Wasf3	1
Adherens junction	Wasl	1
Adherens junction	Yes1	1
Adipocytokine signaling pathway	1700061G19Rik	1
Adipocytokine signaling pathway	Acacb	1
Adipocytokine signaling pathway	Acsbg1	1
Adipocytokine signaling pathway	Acsbg2	1
Adipocytokine signaling pathway	Acsl1	1
Adipocytokine signaling pathway	Acsl3	1
Adipocytokine signaling pathway	Acsl4	1
Adipocytokine signaling pathway	Acsl5	1
Adipocytokine signaling pathway	Acsl6	1
Adipocytokine signaling pathway	Adipoq	1
Adipocytokine signaling pathway	Adipor1	1
Adipocytokine signaling pathway	Adipor2	1
Adipocytokine signaling pathway	Agrp	1
Adipocytokine signaling pathway	Akt1	1
Adipocytokine signaling pathway	Akt2	1
Adipocytokine signaling pathway	Akt3	1
Adipocytokine signaling pathway	Camkk2	1
Adipocytokine signaling pathway	Cd36	1
Adipocytokine signaling pathway	Chuk	1
Adipocytokine signaling pathway	Cpt1a	1
Adipocytokine signaling pathway	Cpt1b	1
Adipocytokine signaling pathway	Cpt1c	1
Adipocytokine signaling pathway	G6pc	1
Adipocytokine signaling pathway	G6pc2	1
Adipocytokine signaling pathway	G6pc3	1
Adipocytokine signaling pathway	Ikbkb	1
Adipocytokine signaling pathway	Ikbkg	1
Adipocytokine signaling pathway	Irs1	1
Adipocytokine signaling pathway	Irs2	1
Adipocytokine signaling pathway	Irs3	1
Adipocytokine signaling pathway	Irs4	1
Adipocytokine signaling pathway	Jak2	1
Adipocytokine signaling pathway	Lep	1
Adipocytokine signaling pathway	Lepr	1
Adipocytokine signaling pathway	Mapk10	1
Adipocytokine signaling pathway	Mapk8	1
Adipocytokine signaling pathway	Mapk9	1
Adipocytokine signaling pathway	Mtor	1
Adipocytokine signaling pathway	Nfkb1	1
Adipocytokine signaling pathway	Nfkbia	1
Adipocytokine signaling pathway	Nfkbib	1
Adipocytokine signaling pathway	Nfkbie	1
Adipocytokine signaling pathway	Npy	1
Adipocytokine signaling pathway	Pck1	1
Adipocytokine signaling pathway	Pck2	1
Adipocytokine signaling pathway	Pomc	1
Adipocytokine signaling pathway	Ppara	1
Adipocytokine signaling pathway	Ppargc1a	1
Adipocytokine signaling pathway	Prkaa1	1
Adipocytokine signaling pathway	Prkaa2	1
Adipocytokine signaling pathway	Prkab1	1
Adipocytokine signaling pathway	Prkab2	1
Adipocytokine signaling pathway	Prkag1	1
Adipocytokine signaling pathway	Prkag2	1
Adipocytokine signaling pathway	Prkag3	1
Adipocytokine signaling pathway	Prkcq	1
Adipocytokine signaling pathway	Ptpn11	1
Adipocytokine signaling pathway	Rela	1
Adipocytokine signaling pathway	Rxra	1
Adipocytokine signaling pathway	Rxrb	1
Adipocytokine signaling pathway	Rxrg	1
Adipocytokine signaling pathway	Slc2a1	1
Adipocytokine signaling pathway	Slc2a4	1
Adipocytokine signaling pathway	Socs3	1
Adipocytokine signaling pathway	Stat3	1
Adipocytokine signaling pathway	Stk11	1
Adipocytokine signaling pathway	Tnf	1
Adipocytokine signaling pathway	Tnfrsf1a	1
Adipocytokine signaling pathway	Tnfrsf1b	1
Adipocytokine signaling pathway	Tradd	1
Adipocytokine signaling pathway	Traf2	1
Adrenergic signaling in cardiomyocytes	Actc1	1
Adrenergic signaling in cardiomyocytes	Adcy1	1
Adrenergic signaling in cardiomyocytes	Adcy2	1
Adrenergic signaling in cardiomyocytes	Adcy3	1
Adrenergic signaling in cardiomyocytes	Adcy4	1
Adrenergic signaling in cardiomyocytes	Adcy5	1
Adrenergic signaling in cardiomyocytes	Adcy6	1
Adrenergic signaling in cardiomyocytes	Adcy7	1
Adrenergic signaling in cardiomyocytes	Adcy8	1
Adrenergic signaling in cardiomyocytes	Adcy9	1
Adrenergic signaling in cardiomyocytes	Adra1a	1
Adrenergic signaling in cardiomyocytes	Adra1b	1
Adrenergic signaling in cardiomyocytes	Adra1d	1
Adrenergic signaling in cardiomyocytes	Adrb1	1
Adrenergic signaling in cardiomyocytes	Adrb2	1
Adrenergic signaling in cardiomyocytes	Agtr1a	1
Adrenergic signaling in cardiomyocytes	Agtr1b	1
Adrenergic signaling in cardiomyocytes	Agtr2	1
Adrenergic signaling in cardiomyocytes	Akt1	1
Adrenergic signaling in cardiomyocytes	Akt2	1
Adrenergic signaling in cardiomyocytes	Akt3	1
Adrenergic signaling in cardiomyocytes	Atf2	1
Adrenergic signaling in cardiomyocytes	Atf4	1
Adrenergic signaling in cardiomyocytes	Atf6b	1
Adrenergic signaling in cardiomyocytes	Atp1a1	1
Adrenergic signaling in cardiomyocytes	Atp1a2	1
Adrenergic signaling in cardiomyocytes	Atp1a3	1
Adrenergic signaling in cardiomyocytes	Atp1a4	1
Adrenergic signaling in cardiomyocytes	Atp1b1	1
Adrenergic signaling in cardiomyocytes	Atp1b2	1
Adrenergic signaling in cardiomyocytes	Atp1b3	1
Adrenergic signaling in cardiomyocytes	Atp1b4	1
Adrenergic signaling in cardiomyocytes	Atp2a2	1
Adrenergic signaling in cardiomyocytes	Atp2b1	1
Adrenergic signaling in cardiomyocytes	Atp2b2	1
Adrenergic signaling in cardiomyocytes	Atp2b3	1
Adrenergic signaling in cardiomyocytes	Atp2b4	1
Adrenergic signaling in cardiomyocytes	Bcl2	1
Adrenergic signaling in cardiomyocytes	Cacna1c	1
Adrenergic signaling in cardiomyocytes	Cacna1d	1
Adrenergic signaling in cardiomyocytes	Cacna1f	1
Adrenergic signaling in cardiomyocytes	Cacna1s	1
Adrenergic signaling in cardiomyocytes	Cacna2d1	1
Adrenergic signaling in cardiomyocytes	Cacna2d2	1
Adrenergic signaling in cardiomyocytes	Cacna2d3	1
Adrenergic signaling in cardiomyocytes	Cacna2d4	1
Adrenergic signaling in cardiomyocytes	Cacnb1	1
Adrenergic signaling in cardiomyocytes	Cacnb2	1
Adrenergic signaling in cardiomyocytes	Cacnb3	1
Adrenergic signaling in cardiomyocytes	Cacnb4	1
Adrenergic signaling in cardiomyocytes	Cacng1	1
Adrenergic signaling in cardiomyocytes	Cacng2	1
Adrenergic signaling in cardiomyocytes	Cacng3	1
Adrenergic signaling in cardiomyocytes	Cacng4	1
Adrenergic signaling in cardiomyocytes	Cacng5	1
Adrenergic signaling in cardiomyocytes	Cacng6	1
Adrenergic signaling in cardiomyocytes	Cacng7	1
Adrenergic signaling in cardiomyocytes	Cacng8	1
Adrenergic signaling in cardiomyocytes	Calm1	1
Adrenergic signaling in cardiomyocytes	Calm2	1
Adrenergic signaling in cardiomyocytes	Calm3	1
Adrenergic signaling in cardiomyocytes	Calm4	1
Adrenergic signaling in cardiomyocytes	Calm5	1
Adrenergic signaling in cardiomyocytes	Calml3	1
Adrenergic signaling in cardiomyocytes	Calml4	1
Adrenergic signaling in cardiomyocytes	Camk2a	1
Adrenergic signaling in cardiomyocytes	Camk2b	1
Adrenergic signaling in cardiomyocytes	Camk2d	1
Adrenergic signaling in cardiomyocytes	Camk2g	1
Adrenergic signaling in cardiomyocytes	Creb1	1
Adrenergic signaling in cardiomyocytes	Creb3	1
Adrenergic signaling in cardiomyocytes	Creb3l1	1
Adrenergic signaling in cardiomyocytes	Creb3l2	1
Adrenergic signaling in cardiomyocytes	Creb3l3	1
Adrenergic signaling in cardiomyocytes	Creb3l4	1
Adrenergic signaling in cardiomyocytes	Creb5	1
Adrenergic signaling in cardiomyocytes	Crem	1
Adrenergic signaling in cardiomyocytes	Fxyd2	1
Adrenergic signaling in cardiomyocytes	Gm2436	1
Adrenergic signaling in cardiomyocytes	Gm2446	1
Adrenergic signaling in cardiomyocytes	Gnai1	1
Adrenergic signaling in cardiomyocytes	Gnai2	1
Adrenergic signaling in cardiomyocytes	Gnai3	1
Adrenergic signaling in cardiomyocytes	Gnaq	1
Adrenergic signaling in cardiomyocytes	Gnas	1
Adrenergic signaling in cardiomyocytes	Kcne1	1
Adrenergic signaling in cardiomyocytes	Kcnq1	1
Adrenergic signaling in cardiomyocytes	Mapk1	1
Adrenergic signaling in cardiomyocytes	Mapk11	1
Adrenergic signaling in cardiomyocytes	Mapk12	1
