Annotation	Gene	Input
Basal transcription factors	Taf4b	1
Basal transcription factors	Taf5	1
Basal transcription factors	Taf5l	1
Basal transcription factors	Taf6	1
Basal transcription factors	Taf6l	1
Basal transcription factors	Taf7	1
Basal transcription factors	Taf7l	1
Basal transcription factors	Taf7l2	1
Basal transcription factors	Taf8	1
Basal transcription factors	Taf9	1
Basal transcription factors	Taf9b	1
Basal transcription factors	Tbp	1
Basal transcription factors	Tbpl1	1
Basal transcription factors	Tbpl2	1
Base excision repair	Apex1	1
Base excision repair	Apex2	1
Base excision repair	Fen1	1
Base excision repair	Gm21596	1
Base excision repair	Hmgb1	1
Base excision repair	Lig1	1
Base excision repair	Lig3	1
Base excision repair	Mbd4	1
Base excision repair	Mpg	1
Base excision repair	Mutyh	1
Base excision repair	Neil1	1
Base excision repair	Neil2	1
Base excision repair	Neil3	1
Base excision repair	Nthl1	1
Base excision repair	Ogg1	1
Base excision repair	Parp1	1
Base excision repair	Parp2	1
Base excision repair	Parp3	1
Base excision repair	Parp4	1
Base excision repair	Pcna	1
Base excision repair	Polb	1
Base excision repair	Pold1	1
Base excision repair	Pold2	1
Base excision repair	Pold3	1
Base excision repair	Pold4	1
Base excision repair	Pole	1
Base excision repair	Pole2	1
Base excision repair	Pole3	1
Base excision repair	Pole4	1
Base excision repair	Poll	1
Base excision repair	Smug1	1
Base excision repair	Tdg	1
Base excision repair	Tdg-ps	1
Base excision repair	Ung	1
Base excision repair	Xrcc1	1
BER complex	Apex1	1
BER complex	Apex2	1
BER complex	Lig3	1
BER complex	Parp1	1
BER complex	Parp2	1
BER complex	Parp3	1
BER complex	Parp4	1
BER complex	Polb	1
BER complex	Poll	1
BER complex	Xrcc1	1
beta-Alanine metabolism	Abat	1
beta-Alanine metabolism	Acadm	1
beta-Alanine metabolism	Aldh1a3	1
beta-Alanine metabolism	Aldh1b1	1
beta-Alanine metabolism	Aldh2	1
beta-Alanine metabolism	Aldh3a1	1
beta-Alanine metabolism	Aldh3a2	1
beta-Alanine metabolism	Aldh3b1	1
beta-Alanine metabolism	Aldh3b2	1
beta-Alanine metabolism	Aldh3b3	1
beta-Alanine metabolism	Aldh6a1	1
beta-Alanine metabolism	Aldh7a1	1
beta-Alanine metabolism	Aldh9a1	1
beta-Alanine metabolism	Aoc2	1
beta-Alanine metabolism	Aoc3	1
beta-Alanine metabolism	Carns1	1
beta-Alanine metabolism	Cndp1	1
beta-Alanine metabolism	Cndp2	1
beta-Alanine metabolism	Dpyd	1
beta-Alanine metabolism	Dpys	1
beta-Alanine metabolism	Echs1	1
beta-Alanine metabolism	Ehhadh	1
beta-Alanine metabolism	Gad1	1
beta-Alanine metabolism	Gad2	1
beta-Alanine metabolism	Gadl1	1
beta-Alanine metabolism	Hadha	1
beta-Alanine metabolism	Hibch	1
beta-Alanine metabolism	Mlycd	1
beta-Alanine metabolism	Smox	1
beta-Alanine metabolism	Sms	1
beta-Alanine metabolism	Sms-ps	1
beta-Alanine metabolism	Srm	1
beta-Alanine metabolism	Upb1	1
beta-Oxidation	Acaa1a	1
beta-Oxidation	Acaa1b	1
beta-Oxidation	Acaa2	1
beta-Oxidation	Acadl	1
beta-Oxidation	Acadm	1
beta-Oxidation	Acadvl	1
beta-Oxidation	Acox1	1
beta-Oxidation	Acox3	1
beta-Oxidation	Echs1	1
beta-Oxidation	Ehhadh	1
beta-Oxidation	Hadh	1
beta-Oxidation	Hadha	1
beta-Oxidation	Hadhb	1
"beta-Oxidation, acyl-CoA synthesis"	1700061G19Rik	1
"beta-Oxidation, acyl-CoA synthesis"	Acsbg1	1
"beta-Oxidation, acyl-CoA synthesis"	Acsbg2	1
"beta-Oxidation, acyl-CoA synthesis"	Acsl1	1
"beta-Oxidation, acyl-CoA synthesis"	Acsl3	1
"beta-Oxidation, acyl-CoA synthesis"	Acsl4	1
"beta-Oxidation, acyl-CoA synthesis"	Acsl5	1
"beta-Oxidation, acyl-CoA synthesis"	Acsl6	1
Bile secretion	Abcb11	1
Bile secretion	Abcb1a	1
Bile secretion	Abcb1b	1
Bile secretion	Abcb4	1
Bile secretion	Abcc2	1
Bile secretion	Abcc3	1
Bile secretion	Abcc4	1
Bile secretion	Abcg2	1
Bile secretion	Abcg5	1
Bile secretion	Abcg8	1
Bile secretion	Adcy1	1
Bile secretion	Adcy2	1
Bile secretion	Adcy3	1
Bile secretion	Adcy4	1
Bile secretion	Adcy5	1
Bile secretion	Adcy6	1
Bile secretion	Adcy7	1
Bile secretion	Adcy8	1
Bile secretion	Adcy9	1
Bile secretion	Aqp1	1
Bile secretion	Aqp4	1
Bile secretion	Aqp8	1
Bile secretion	Aqp9	1
Bile secretion	Atp1a1	1
Bile secretion	Atp1a2	1
Bile secretion	Atp1a3	1
Bile secretion	Atp1a4	1
Bile secretion	Atp1b1	1
Bile secretion	Atp1b2	1
Bile secretion	Atp1b3	1
Bile secretion	Atp1b4	1
Bile secretion	Baat	1
Bile secretion	Car2	1
Bile secretion	Cftr	1
Bile secretion	Cyp7a1	1
Bile secretion	Ephx1	1
Bile secretion	Fxyd2	1
Bile secretion	Gnas	1
Bile secretion	Hmgcr	1
Bile secretion	Kcnn2	1
Bile secretion	Ldlr	1
Bile secretion	Nceh1	1
Bile secretion	Nr0b2	1
Bile secretion	Nr1h4	1
Bile secretion	Prkaca	1
Bile secretion	Prkacb	1
Bile secretion	Rxra	1
Bile secretion	Scarb1	1
Bile secretion	Sctr	1
Bile secretion	Slc10a1	1
Bile secretion	Slc10a2	1
Bile secretion	Slc22a1	1
Bile secretion	Slc22a7	1
Bile secretion	Slc22a8	1
Bile secretion	Slc27a5	1
Bile secretion	Slc2a1	1
Bile secretion	Slc4a2	1
Bile secretion	Slc4a4	1
Bile secretion	Slc4a5	1
Bile secretion	Slc51a	1
Bile secretion	Slc51b	1
Bile secretion	Slc5a1	1
Bile secretion	Slc9a1	1
Bile secretion	Slc9a3	1
Bile secretion	Slco1a1	1
Bile secretion	Slco1a4	1
Bile secretion	Slco1a5	1
Bile secretion	Slco1a6	1
Bile secretion	Slco1b2	1
Bile secretion	Sult2a1	1
Bile secretion	Sult2a3	1
Biosynthesis of amino acids	4933405O20Rik	1
Biosynthesis of amino acids	Aadat	1
Biosynthesis of amino acids	Aco1	1
Biosynthesis of amino acids	Aco2	1
Biosynthesis of amino acids	Acy1	1
Biosynthesis of amino acids	Aldh18a1	1
Biosynthesis of amino acids	Aldh7a1	1
Biosynthesis of amino acids	Aldoa	1
Biosynthesis of amino acids	Aldoart1	1
Biosynthesis of amino acids	Aldob	1
Biosynthesis of amino acids	Aldoc	1
Biosynthesis of amino acids	Arg1	1
Biosynthesis of amino acids	Arg2	1
Biosynthesis of amino acids	Asl	1
Biosynthesis of amino acids	Ass1	1
Biosynthesis of amino acids	Bcat1	1
Biosynthesis of amino acids	Bcat2	1
Biosynthesis of amino acids	Cbs	1
Biosynthesis of amino acids	Cps1	1
Biosynthesis of amino acids	Cs	1
Biosynthesis of amino acids	Csl	1
Biosynthesis of amino acids	Cth	1
Biosynthesis of amino acids	Eno1	1
Biosynthesis of amino acids	Eno1b	1
Biosynthesis of amino acids	Eno2	1
Biosynthesis of amino acids	Eno3	1
Biosynthesis of amino acids	Gapdh	1
Biosynthesis of amino acids	Gapdh-ps15	1
Biosynthesis of amino acids	Glul	1
Biosynthesis of amino acids	Got1	1
Biosynthesis of amino acids	Got2	1
Biosynthesis of amino acids	Gpt	1
Biosynthesis of amino acids	Gpt2	1
Biosynthesis of amino acids	Idh1	1
Biosynthesis of amino acids	Idh2	1
Biosynthesis of amino acids	Idh3a	1
Biosynthesis of amino acids	Idh3b	1
Biosynthesis of amino acids	Idh3g	1
Biosynthesis of amino acids	Mat1a	1
Biosynthesis of amino acids	Mat2a	1
Biosynthesis of amino acids	Mat2b	1
Biosynthesis of amino acids	Mtr	1
Biosynthesis of amino acids	Nags	1
Biosynthesis of amino acids	Otc	1
Biosynthesis of amino acids	Pah	1
Biosynthesis of amino acids	Pcx	1
Biosynthesis of amino acids	Pfkl	1
Biosynthesis of amino acids	Pfkm	1
Biosynthesis of amino acids	Pfkp	1
Biosynthesis of amino acids	Pgam1	1
Biosynthesis of amino acids	Pgam2	1
Biosynthesis of amino acids	Pgk1	1
Biosynthesis of amino acids	Pgk2	1
Biosynthesis of amino acids	Phgdh	1
Biosynthesis of amino acids	Pklr	1
Biosynthesis of amino acids	Pkm	1
Biosynthesis of amino acids	Prps1	1
Biosynthesis of amino acids	Prps1l1	1
Biosynthesis of amino acids	Prps1l3	1
Biosynthesis of amino acids	Prps2	1
Biosynthesis of amino acids	Psat1	1
Biosynthesis of amino acids	Psph	1
Biosynthesis of amino acids	Pycr1	1
Biosynthesis of amino acids	Pycr2	1
Biosynthesis of amino acids	Pycrl	1
Biosynthesis of amino acids	Rpe	1
Biosynthesis of amino acids	Rpia	1
Biosynthesis of amino acids	Sds	1
Biosynthesis of amino acids	Sdsl	1
Biosynthesis of amino acids	Shmt1	1
Biosynthesis of amino acids	Shmt2	1
Biosynthesis of amino acids	Taldo1	1
Biosynthesis of amino acids	Tat	1
Biosynthesis of amino acids	Tha1	1
Biosynthesis of amino acids	Tkt	1
Biosynthesis of amino acids	Tktl1	1
Biosynthesis of amino acids	Tktl2	1
Biosynthesis of amino acids	Tpi1	1
Biosynthesis of unsaturated fatty acids	Acaa1a	1
Biosynthesis of unsaturated fatty acids	Acaa1b	1
Biosynthesis of unsaturated fatty acids	Acot1	1
Biosynthesis of unsaturated fatty acids	Acot2	1
Biosynthesis of unsaturated fatty acids	Acot3	1
Biosynthesis of unsaturated fatty acids	Acot4	1
Biosynthesis of unsaturated fatty acids	Acot5	1
Biosynthesis of unsaturated fatty acids	Acot7	1
Biosynthesis of unsaturated fatty acids	Acox1	1
Biosynthesis of unsaturated fatty acids	Acox3	1
Biosynthesis of unsaturated fatty acids	Baat	1
Biosynthesis of unsaturated fatty acids	Elovl2	1
Biosynthesis of unsaturated fatty acids	Elovl5	1
Biosynthesis of unsaturated fatty acids	Elovl6	1
Biosynthesis of unsaturated fatty acids	Fads1	1
Biosynthesis of unsaturated fatty acids	Fads2	1
Biosynthesis of unsaturated fatty acids	Hacd1	1
Biosynthesis of unsaturated fatty acids	Hacd2	1
Biosynthesis of unsaturated fatty acids	Hacd3	1
Biosynthesis of unsaturated fatty acids	Hacd4	1
Biosynthesis of unsaturated fatty acids	Hadha	1
Biosynthesis of unsaturated fatty acids	Hsd17b12	1
Biosynthesis of unsaturated fatty acids	Pecr	1
Biosynthesis of unsaturated fatty acids	Scd1	1
Biosynthesis of unsaturated fatty acids	Scd2	1
Biosynthesis of unsaturated fatty acids	Scd3	1
Biosynthesis of unsaturated fatty acids	Scd4	1
Biosynthesis of unsaturated fatty acids	Tecr	1
Biotin metabolism	Btd	1
Biotin metabolism	Hlcs	1
Biotin metabolism	Oxsm	1
Bloom's syndrome complex	Blm	1
Bloom's syndrome complex	Rmi1	1
Bloom's syndrome complex	Rmi2	1
Bloom's syndrome complex	Top3a	1
Bloom's syndrome complex	Top3b	1
BMP signaling	Acvr1	1
BMP signaling	Acvr2a	1
BMP signaling	Acvr2b	1
BMP signaling	Amh	1
BMP signaling	Amhr2	1
BMP signaling	Bmp2	1
BMP signaling	Bmp4	1
BMP signaling	Bmp5	1
BMP signaling	Bmp6	1
BMP signaling	Bmp7	1
BMP signaling	Bmp8a	1
BMP signaling	Bmp8b	1
BMP signaling	Bmpr1a	1
BMP signaling	Bmpr1b	1
BMP signaling	Bmpr2	1
BMP signaling	Gdf5	1
BMP signaling	Smad1	1
BMP signaling	Smad4	1
BMP signaling	Smad5	1
BMP signaling	Smad9	1
BRCA1-associated genome surveillance complex (BASC)	Atm	1
BRCA1-associated genome surveillance complex (BASC)	Blm	1
BRCA1-associated genome surveillance complex (BASC)	Brca1	1
BRCA1-associated genome surveillance complex (BASC)	Mlh1	1
BRCA1-associated genome surveillance complex (BASC)	Mre11a	1
BRCA1-associated genome surveillance complex (BASC)	Msh2	1
BRCA1-associated genome surveillance complex (BASC)	Msh6	1
BRCA1-associated genome surveillance complex (BASC)	Nbn	1
BRCA1-associated genome surveillance complex (BASC)	Pcna	1
BRCA1-associated genome surveillance complex (BASC)	Pms2	1
BRCA1-associated genome surveillance complex (BASC)	Rad50	1
BRCA1-associated genome surveillance complex (BASC)	Rfc1	1
BRCA1-associated genome surveillance complex (BASC)	Rfc2	1
BRCA1-associated genome surveillance complex (BASC)	Rfc3	1
BRCA1-associated genome surveillance complex (BASC)	Rfc4	1
BRCA1-associated genome surveillance complex (BASC)	Rfc5	1
Butanoate metabolism	Aacs	1
Butanoate metabolism	Abat	1
Butanoate metabolism	Acads	1
Butanoate metabolism	Acat1	1
Butanoate metabolism	Acat2	1
Butanoate metabolism	Acsm1	1
Butanoate metabolism	Acsm2	1
Butanoate metabolism	Acsm3	1
Butanoate metabolism	Acsm4	1
Butanoate metabolism	Acsm5	1
Butanoate metabolism	Aldh5a1	1
Butanoate metabolism	Bdh1	1
Butanoate metabolism	Bdh2	1
Butanoate metabolism	Echs1	1
Butanoate metabolism	Ehhadh	1
Butanoate metabolism	Gad1	1
Butanoate metabolism	Gad2	1
Butanoate metabolism	Hadh	1
Butanoate metabolism	Hadha	1
Butanoate metabolism	Hmgcl	1
Butanoate metabolism	Hmgcll1	1
Butanoate metabolism	Hmgcs1	1
Butanoate metabolism	Hmgcs2	1
Butanoate metabolism	L2hgdh	1
Butanoate metabolism	Oxct1	1
Butanoate metabolism	Oxct2a	1
Butanoate metabolism	Oxct2b	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Cyp17a1	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Cyp19a1	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Gm10681	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Hsd3b1	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Hsd3b2	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Hsd3b4	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Hsd3b5	1
"C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone"	Hsd3b6	1
"C1-unit interconversion, eukaryotes"	Mthfd1	1
"C1-unit interconversion, eukaryotes"	Mthfd1l	1
"C1-unit interconversion, eukaryotes"	Mthfd2	1
"C1-unit interconversion, eukaryotes"	Mthfd2l	1
"C1-unit interconversion, eukaryotes"	Shmt1	1
"C1-unit interconversion, eukaryotes"	Shmt2	1
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	Cyp11b1	1
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	Cyp11b2	1
"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone"	Cyp21a1	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Cyp11b1	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Cyp11b2	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Cyp17a1	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Cyp21a1	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Hsd11b1	1
"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone"	Hsd11b2	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Acat1	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Acat2	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Gm38481	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Hmgcr	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Hmgcs1	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Hmgcs2	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Idi1	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Idi2	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Mvd	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Mvk	1
"C5 isoprenoid biosynthesis, mevalonate pathway"	Pmvk	1
Caffeine metabolism	Cyp1a2	1
Caffeine metabolism	Nat1	1
Caffeine metabolism	Nat2	1
Caffeine metabolism	Nat3	1
Caffeine metabolism	Uox	1
Caffeine metabolism	Xdh	1
Calcium signaling pathway	Adcy1	1
Calcium signaling pathway	Adcy2	1
Calcium signaling pathway	Adcy3	1
Calcium signaling pathway	Adcy4	1
Calcium signaling pathway	Adcy7	1
Calcium signaling pathway	Adcy8	1
Calcium signaling pathway	Adcy9	1
Calcium signaling pathway	Adora2a	1
Calcium signaling pathway	Adora2b	1
Calcium signaling pathway	Adra1a	1
Calcium signaling pathway	Adra1b	1
Calcium signaling pathway	Adra1d	1
Calcium signaling pathway	Adrb1	1
Calcium signaling pathway	Adrb2	1
Calcium signaling pathway	Adrb3	1
Calcium signaling pathway	Agtr1a	1
Calcium signaling pathway	Agtr1b	1
Calcium signaling pathway	Atp2a1	1
Calcium signaling pathway	Atp2a2	1
Calcium signaling pathway	Atp2a3	1
Calcium signaling pathway	Atp2b1	1
Calcium signaling pathway	Atp2b2	1
Calcium signaling pathway	Atp2b3	1
Calcium signaling pathway	Atp2b4	1
Calcium signaling pathway	Avpr1a	1
Calcium signaling pathway	Avpr1b	1
Calcium signaling pathway	Bdkrb1	1
Calcium signaling pathway	Bdkrb2	1
Calcium signaling pathway	Cacna1a	1
Calcium signaling pathway	Cacna1b	1
Calcium signaling pathway	Cacna1c	1
Calcium signaling pathway	Cacna1d	1
Calcium signaling pathway	Cacna1e	1
Calcium signaling pathway	Cacna1f	1
Calcium signaling pathway	Cacna1g	1
Calcium signaling pathway	Cacna1h	1
Calcium signaling pathway	Cacna1i	1
Calcium signaling pathway	Cacna1s	1
Calcium signaling pathway	Calm1	1
Calcium signaling pathway	Calm2	1
Calcium signaling pathway	Calm3	1
Calcium signaling pathway	Calm4	1
Calcium signaling pathway	Calm5	1
Calcium signaling pathway	Calml3	1
Calcium signaling pathway	Calml4	1
Calcium signaling pathway	Camk2a	1
Calcium signaling pathway	Camk2b	1
Calcium signaling pathway	Camk2d	1
Calcium signaling pathway	Camk2g	1
Calcium signaling pathway	Camk4	1
Calcium signaling pathway	Cckar	1
Calcium signaling pathway	Cckbr	1
Calcium signaling pathway	Cd38	1
Calcium signaling pathway	Chrm1	1
Calcium signaling pathway	Chrm2	1
Calcium signaling pathway	Chrm3	1
Calcium signaling pathway	Chrm5	1
Calcium signaling pathway	Chrna7	1
Calcium signaling pathway	Cysltr1	1
Calcium signaling pathway	Cysltr2	1
Calcium signaling pathway	Drd1	1
Calcium signaling pathway	Drd5	1
Calcium signaling pathway	Ednra	1
Calcium signaling pathway	Ednrb	1
Calcium signaling pathway	Egfr	1
Calcium signaling pathway	Erbb2	1
Calcium signaling pathway	Erbb3	1
Calcium signaling pathway	Erbb4	1
Calcium signaling pathway	F2r	1
Calcium signaling pathway	Gna11	1
Calcium signaling pathway	Gna14	1
Calcium signaling pathway	Gna15	1
Calcium signaling pathway	Gnal	1
Calcium signaling pathway	Gnaq	1
Calcium signaling pathway	Gnas	1
Calcium signaling pathway	Grin1	1
Calcium signaling pathway	Grin2a	1
Calcium signaling pathway	Grin2c	1
Calcium signaling pathway	Grin2d	1
Calcium signaling pathway	Grm1	1
Calcium signaling pathway	Grm5	1
Calcium signaling pathway	Grpr	1
Calcium signaling pathway	Hrh1	1
Calcium signaling pathway	Hrh2	1
Calcium signaling pathway	Htr2a	1
Calcium signaling pathway	Htr2b	1
Calcium signaling pathway	Htr2c	1
Calcium signaling pathway	Htr4	1
Calcium signaling pathway	Htr5a	1
Calcium signaling pathway	Htr5b	1
Calcium signaling pathway	Htr6	1
Calcium signaling pathway	Htr7	1
Calcium signaling pathway	Itpka	1
Calcium signaling pathway	Itpkb	1
Calcium signaling pathway	Itpkc	1
Calcium signaling pathway	Itpr1	1
Calcium signaling pathway	Itpr2	1
Calcium signaling pathway	Itpr3	1
Calcium signaling pathway	Lhcgr	1
Calcium signaling pathway	LOC641025	1
Calcium signaling pathway	Ltb4r2	1
Calcium signaling pathway	Mcu	1
Calcium signaling pathway	Mylk	1
Calcium signaling pathway	Mylk2	1
Calcium signaling pathway	Mylk3	1
Calcium signaling pathway	Mylk4	1
Calcium signaling pathway	Nos1	1
Calcium signaling pathway	Nos2	1
Calcium signaling pathway	Nos3	1
Calcium signaling pathway	Ntsr1	1
Calcium signaling pathway	Orai1	1
Calcium signaling pathway	Orai2	1
Calcium signaling pathway	Orai3	1
Calcium signaling pathway	Oxtr	1
Calcium signaling pathway	P2rx1	1
Calcium signaling pathway	P2rx2	1
Calcium signaling pathway	P2rx3	1
Calcium signaling pathway	P2rx4	1
Calcium signaling pathway	P2rx5	1
Calcium signaling pathway	P2rx6	1
Calcium signaling pathway	P2rx7	1
Calcium signaling pathway	Pde1a	1
Calcium signaling pathway	Pde1b	1
Calcium signaling pathway	Pde1c	1
Calcium signaling pathway	Pdgfra	1
Calcium signaling pathway	Pdgfrb	1
Calcium signaling pathway	Phka1	1
Calcium signaling pathway	Phka2	1
Calcium signaling pathway	Phkb	1
Calcium signaling pathway	Phkg1	1
Calcium signaling pathway	Phkg2	1
Calcium signaling pathway	Plcb1	1
Calcium signaling pathway	Plcb2	1
Calcium signaling pathway	Plcb3	1
Calcium signaling pathway	Plcb4	1
Calcium signaling pathway	Plcd1	1
Calcium signaling pathway	Plcd3	1
Calcium signaling pathway	Plcd4	1
Calcium signaling pathway	Plce1	1
Calcium signaling pathway	Plcg1	1
Calcium signaling pathway	Plcg2	1
Calcium signaling pathway	Plcz1	1
Calcium signaling pathway	Pln	1
Calcium signaling pathway	Ppif	1
Calcium signaling pathway	Ppp3ca	1
Calcium signaling pathway	Ppp3cb	1
Calcium signaling pathway	Ppp3cc	1
Calcium signaling pathway	Ppp3r1	1
Calcium signaling pathway	Ppp3r2	1
Calcium signaling pathway	Prkaca	1
Calcium signaling pathway	Prkacb	1
Calcium signaling pathway	Prkca	1
Calcium signaling pathway	Prkcb	1
Calcium signaling pathway	Prkcg	1
Calcium signaling pathway	Ptafr	1
Calcium signaling pathway	Ptger1	1
Calcium signaling pathway	Ptger3	1
Calcium signaling pathway	Ptgfr	1
Calcium signaling pathway	Ptk2b	1
Calcium signaling pathway	Ryr1	1
Calcium signaling pathway	Ryr2	1
Calcium signaling pathway	Ryr3	1
Calcium signaling pathway	Slc25a31	1
Calcium signaling pathway	Slc25a4	1
Calcium signaling pathway	Slc25a5	1
Calcium signaling pathway	Slc8a1	1
Calcium signaling pathway	Slc8a2	1
Calcium signaling pathway	Slc8a3	1
Calcium signaling pathway	Sphk1	1
Calcium signaling pathway	Sphk2	1
Calcium signaling pathway	Stim1	1
Calcium signaling pathway	Stim2	1
Calcium signaling pathway	Tacr1	1
Calcium signaling pathway	Tacr2	1
Calcium signaling pathway	Tacr3	1
Calcium signaling pathway	Tbxa2r	1
Calcium signaling pathway	Tnnc1	1
Calcium signaling pathway	Tnnc2	1
Calcium signaling pathway	Trhr	1
Calcium signaling pathway	Trhr2	1
Calcium signaling pathway	Vdac1	1
Calcium signaling pathway	Vdac2	1
Calcium signaling pathway	Vdac3	1
cAMP signaling	Adcy1	1
cAMP signaling	Adcy2	1
cAMP signaling	Adcy3	1
cAMP signaling	Adcy4	1
cAMP signaling	Adcy5	1
cAMP signaling	Adcy6	1
cAMP signaling	Adcy7	1
cAMP signaling	Adcy8	1
cAMP signaling	Adcy9	1
cAMP signaling	Gnai1	1
cAMP signaling	Gnai2	1
cAMP signaling	Gnai3	1
cAMP signaling	Gnas	1
cAMP signaling	Prkaca	1
cAMP signaling	Prkacb	1
cAMP signaling pathway	4930544G11Rik	1
cAMP signaling pathway	Abcc4	1
cAMP signaling pathway	Acox1	1
cAMP signaling pathway	Acox3	1
cAMP signaling pathway	Adcy1	1
cAMP signaling pathway	Adcy10	1
cAMP signaling pathway	Adcy2	1
cAMP signaling pathway	Adcy3	1
cAMP signaling pathway	Adcy4	1
cAMP signaling pathway	Adcy5	1
cAMP signaling pathway	Adcy6	1
cAMP signaling pathway	Adcy7	1
cAMP signaling pathway	Adcy8	1
cAMP signaling pathway	Adcy9	1
cAMP signaling pathway	Adcyap1r1	1
cAMP signaling pathway	Adora1	1
cAMP signaling pathway	Adora2a	1
cAMP signaling pathway	Adrb1	1
cAMP signaling pathway	Adrb2	1
cAMP signaling pathway	Afdn	1
cAMP signaling pathway	Akt1	1
cAMP signaling pathway	Akt2	1
cAMP signaling pathway	Akt3	1
cAMP signaling pathway	Amh	1
cAMP signaling pathway	Arap3	1
cAMP signaling pathway	Atp1a1	1
cAMP signaling pathway	Atp1a2	1
cAMP signaling pathway	Atp1a3	1
cAMP signaling pathway	Atp1a4	1
cAMP signaling pathway	Atp1b1	1
cAMP signaling pathway	Atp1b2	1
cAMP signaling pathway	Atp1b3	1
cAMP signaling pathway	Atp1b4	1
cAMP signaling pathway	Atp2a2	1
cAMP signaling pathway	Atp2b1	1
cAMP signaling pathway	Atp2b2	1
cAMP signaling pathway	Atp2b3	1
cAMP signaling pathway	Atp2b4	1
cAMP signaling pathway	Bad	1
cAMP signaling pathway	Bdnf	1
cAMP signaling pathway	Braf	1
cAMP signaling pathway	Cacna1c	1
cAMP signaling pathway	Cacna1d	1
cAMP signaling pathway	Cacna1f	1
cAMP signaling pathway	Cacna1s	1
cAMP signaling pathway	Calm1	1
cAMP signaling pathway	Calm2	1
cAMP signaling pathway	Calm3	1
cAMP signaling pathway	Calm4	1
cAMP signaling pathway	Calm5	1
cAMP signaling pathway	Calml3	1
cAMP signaling pathway	Calml4	1
cAMP signaling pathway	Camk2a	1
cAMP signaling pathway	Camk2b	1
cAMP signaling pathway	Camk2d	1
cAMP signaling pathway	Camk2g	1
cAMP signaling pathway	Camk4	1
cAMP signaling pathway	Cftr	1
cAMP signaling pathway	Chrm1	1
cAMP signaling pathway	Chrm2	1
cAMP signaling pathway	Cnga1	1
cAMP signaling pathway	Cnga2	1
cAMP signaling pathway	Cnga3	1
cAMP signaling pathway	Cnga4	1
cAMP signaling pathway	Cngb1	1
cAMP signaling pathway	Cngb3	1
cAMP signaling pathway	Creb1	1
cAMP signaling pathway	Creb3	1
cAMP signaling pathway	Creb3l1	1
cAMP signaling pathway	Creb3l2	1
cAMP signaling pathway	Creb3l3	1
cAMP signaling pathway	Creb3l4	1
cAMP signaling pathway	Creb5	1
cAMP signaling pathway	Crebbp	1
cAMP signaling pathway	Drd1	1
cAMP signaling pathway	Drd2	1
cAMP signaling pathway	Drd5	1
cAMP signaling pathway	Ednra	1
cAMP signaling pathway	Ep300	1
cAMP signaling pathway	F2r	1
cAMP signaling pathway	Ffar2	1
cAMP signaling pathway	Fos	1
cAMP signaling pathway	Fshb	1
cAMP signaling pathway	Fshr	1
cAMP signaling pathway	Fxyd1	1
cAMP signaling pathway	Fxyd2	1
cAMP signaling pathway	Gabbr1	1
cAMP signaling pathway	Gabbr2	1
cAMP signaling pathway	Ghrl	1
cAMP signaling pathway	Ghsr	1
cAMP signaling pathway	Gipr	1
cAMP signaling pathway	Gli1	1
cAMP signaling pathway	Gli3	1
cAMP signaling pathway	Glp1r	1
cAMP signaling pathway	Gnai1	1
cAMP signaling pathway	Gnai2	1
cAMP signaling pathway	Gnai3	1
cAMP signaling pathway	Gnas	1
cAMP signaling pathway	Gpr119	1
cAMP signaling pathway	Gria1	1
cAMP signaling pathway	Gria2	1
cAMP signaling pathway	Gria3	1
cAMP signaling pathway	Gria4	1
cAMP signaling pathway	Grin1	1
cAMP signaling pathway	Grin2a	1
