TF	Target	Corr
Nkx2-2	Mapre2	1
Nkx2-2	Syt7	1
Nkx2-2	Zhx2	1
Nkx2-2	Brsk2	1
Nkx2-2	Fancb	1
Nkx2-2	Foxp1	1
Nkx2-2	Baiap3	1
Nkx2-2	Prkar1b	1
Nkx2-2	Pcsk1	1
Nkx2-2	Fmn2	1
Nkx2-2	Fam183b	1
Nkx2-2	Vwa5b2	1
Nkx2-2	Pbx1	1
Nkx2-2	Zfp516	1
Nkx2-2	Cntnap2	1
Nkx2-2	Fev	1
Nkx2-2	Tm4sf4	1
Nkx2-2	Gck	1
Nkx2-2	Ccdc107	1
Nkx2-2	Efcab1	1
Nkx2-2	Tfcp2l1	1
Nkx2-2	Bhlhe22	1
Nkx2-2	Pax6	1
Nkx2-2	Ddc	1
Nkx2-2	Ins2	1
Nkx2-2	Iapp	1
Nkx2-2	Negr1	1
Nkx2-2	Cerkl	1
Nkx2-2	Hdac8	1
Nkx2-2	Ppp1r12a	1
Nkx2-2	Neurod1	1
Nkx2-2	Ntrk2	1
Nkx2-2	Celsr3	1
Nkx2-2	Mageh1	1
Nkx2-2	Pdia3	1
Nkx2-2	Baz2b	1
Nkx2-2	Tmem163	1
Nkx2-2	Alg2	1
Nkx2-2	Pard3	1
Nkx2-2	Elavl2	1
Nkx2-2	Pcsk1n	1
Nkx2-2	Thumpd2	1
Nkx2-2	Tlx3	1
Nkx2-2	Celf3	1
Nkx2-2	Sox6	1
Nkx2-2	Pappa2	1
Nkx2-2	Rtn1	1
Nkx2-2	Pcdh10	1
Nkx2-2	Cdh7	1
Nkx2-2	Mfsd11	1
Nkx2-2	Nkx6-1	1
Nkx2-2	Gp2	1
Nkx2-2	Rpp30	1
Nkx2-2	Eps15	1
Nkx2-2	Cks2	1
Nkx2-2	Dner	1
Nkx2-2	Plod3	1
Nkx2-2	St8sia3	1
Nkx2-2	Rundc1	1
Nkx2-2	Mthfr	1
Nkx2-2	Insrr	1
Nkx2-2	Cox18	1
Nkx2-2	Vgf	1
Nkx2-2	Mapk10	1
Nkx2-2	Tle2	1
Nkx2-2	Rps17	1
Nkx2-2	Aldh1l2	1
Nkx2-2	Plch1	1
Nkx2-2	Insm1	1
Nkx2-2	Stxbp1	1
Nkx2-2	Ptprn	1
Nkx2-2	Fbxo2	1
Nkx2-2	Slc4a10	1
Nkx2-2	Th	1
Nkx2-2	Myt1l	1
Nkx6-1	Kcnip1	1
Nkx6-1	Vstm2l	1
Nkx6-1	Etv1	1
Nkx6-1	Otoa	1
Nkx6-1	Lpin2	1
Nkx6-1	Sesn1	1
Nkx6-1	Myt1	1
Nkx6-1	Usp29	1
Nkx6-1	Gcg	1
Nkx6-1	Cplx2	1
Nkx6-1	Rab39b	1
Nkx6-1	Slc35b1	1
Nkx6-1	Myc	1
Nkx6-1	Dbpht2	1
Nkx6-1	Sgms1	1
Nkx6-1	Cxxc4	1
Nkx6-1	Ficd	1
Nkx6-1	Chn1	1
Nkx6-1	G6pc2	1
Nkx6-1	Adora3	1
Nkx6-1	Txlng	1
Nkx6-1	Creld2	1
Nkx6-1	Rfx3	1
Nkx6-1	Slc30a8	1
Nkx6-1	Chrm3	1
Nkx6-1	1810062G17Rik	1
Nkx6-1	Car10	1
Nkx6-1	Cdh8	1
Nkx6-1	Ap1s2	1
Nkx6-1	Slc7a14	1
Nkx6-1	Sez6l	1
Nkx6-1	Spry4	1
Nkx6-1	Ang	1
Nkx6-1	Hepacam2	1
Nkx6-1	Cadps	1
Nkx6-1	St18	1
Nkx6-1	Cope	1
Nkx6-1	Zeb2	1
Nkx6-1	Pdx1	1
Nkx6-1	Fbxw9	1
Nkx6-1	Cdhr1	1
Nkx6-1	Mdm1	1
Nkx6-1	Rnf111	1
Nkx6-1	Ptpra	1
Nkx6-1	Schip1	1
Nkx6-1	Elavl4	1
Nkx6-1	Ins1	1
Nkx6-1	Mpdz	1
Nkx6-1	Nipal1	1
Nkx6-1	Uggt1	1
Nkx6-1	Syt7	1
Nkx6-1	Lix1l	1
Nkx6-1	Foxp1	1
Nkx6-1	Tmtc3	1
Nkx6-1	Prdm12	1
Nkx6-1	Vwa5b2	1
Nkx6-1	Lman1	1
Nkx6-1	Ufm1	1
Nkx6-1	Gc	1
Nkx6-1	Mllt10	1
Nkx6-1	Tm4sf4	1
Nkx6-1	Sap30bp	1
Nkx6-1	Atp6v0d1	1
Nkx6-1	Chga	1
