GeneName	0h	1h	4h	10h	20h	36h	48h	72h	168h	4w
E430018J23Rik	-0.445322441	0.254825401	0.174656127	0.589124196	0.322839702	-0.308708187	0.132484977	0.004249239	-0.314968785	0.047619259
E430025E21Rik	2.275513066	2.451182369	2.339020959	2.839380945	2.606749262	2.669762946	2.975204026	2.953341314	2.789078668	2.821256752
E4f1	0.948323278	0.71934035	0.580210193	0.984106331	0.723615672	0.886973274	0.770996453	0.441979735	0.609268731	0.871824676
Eaf1	2.744121078	2.92355588	3.136500246	3.779477996	3.453153972	3.653929771	3.469801258	3.107389784	3.010949807	3.132791227
Eaf2	-3.648505926	-3.812360424	-4.183680267	-4.485921946	-5.062878813	-5.541093453	-4.887813223	-4.185709329	-4.369603631	-3.637132231
Eapp	2.102626003	1.86918468	2.200647173	2.310858851	1.992412329	2.067702814	2.246889728	2.084881322	2.071565388	1.960620065
Ear1	-6.251398459	-5.329321305		-6.518992991		-6.140824769				
Ear10	-4.234934888	-5.256846876	-5.263326981	-4.540814238	-3.909290628	-3.985186264	-3.190772462	-4.292895162	-3.736811376	-4.046760307
Ear11	-4.513839573		-4.371479252	-3.936426413		-4.296021397	-4.28819428			-3.229425922
Ear2	-1.133675499	-2.062322727	-2.035380007	-0.794843028	-0.927801776	-0.806420098	-0.73160123	-1.049443504	-0.30014257	-0.547597776
Ear6	-6.65602368									
Ears2	0.707990212	0.881791588	0.912564361	1.372748929	1.116562039	0.898305705	1.267412131	1.384794924	1.076458994	1.057602829
Ebag9	3.210142892	3.023066788	2.653768748	3.226197565	3.204200957	3.191093255	3.203135408	3.167246037	3.363066606	3.007933503
Ebf1	-6.366053367	-6.365466664	-6.30692528	-7.220985983	-6.541168621	-6.931552301	-7.082264202	-6.671517122	-7.072418143	-6.181143577
Ebf2	-7.793623993									
Ebf3	-6.818830353	-6.667781192	-7.309832494	-6.736807393	-7.001646985	-6.037148301	-7.111860675	-5.454284314		
Ebf4	-4.309493038	-5.040772639	-5.80317882	-4.945925916	-5.065500601	-4.802473598	-5.158946687	-4.735744846	-4.990181615	-4.593225829
Ebi3	-3.108194351	-3.386960164	-3.316337227	-3.769299819	-3.050705581	-3.617024289	-3.299109062	-2.599154405	-2.45609293	-2.431045606
Ebna1bp2	2.244575856	2.007467168	2.405810842	2.808186383	2.312057408	2.368123013	2.36408704	2.298107581	1.877322192	2.118554352
Ebp	6.559004596	6.187968082	5.917833826	5.757605089	6.203772481	6.263148276	6.494842724	6.557375035	6.303348282	6.276863653
Ebpl	5.100116997	4.322432952	3.786423699	3.589896998	4.368353924	4.327840653	4.660245545	4.908904252	4.617795401	4.526636135
